X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
3.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002720	0.000000	0.000000	2.939389	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001847	0.000000	0.000000	3.004370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002009	0.000000	0.000000	3.046657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001731	0.000000	0.000000	2.860590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.500000	1.707223	0.000000	0.000000	-0.199193	0.000000	0.000000	1.000000	NaN	NaN	0.161834	0.000000	0.000000	1.382599	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.645803	-Inf	-Inf	-11.412906	0.000000	0.000000
3.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002126	0.000000	0.000000	3.023563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001644	0.000000	0.000000	2.789075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002003	0.000000	0.000000	-3.137936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
3.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002069	0.000000	0.000000	2.966220	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004469	0.000000	0.000000	-0.740901	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002571	0.000000	0.000000	-2.729872	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003608	0.000000	0.000000	-2.871595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003175	0.000000	0.000000	-2.828567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004482	0.000000	0.000000	3.036596	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.500000	1.709906	0.000000	0.000000	-0.499079	0.000000	0.000000	1.000000	NaN	NaN	0.095614	0.000000	0.000000	-2.055738	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.659446	-Inf	-Inf	-28.595110	0.000000	0.000000
4.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006400	0.000000	0.000000	-2.459172	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006733	0.000000	0.000000	-2.987509	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006165	0.000000	0.000000	-3.100265	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
4.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007265	0.000000	0.000000	3.124392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
